ID_REF,VALUE,ABS_CALL,DETECTION P-VALUE
31994_at,178.9,A,0.99865
1627_at,536.6,P,0.00653
32447_at,403.0,A,0.54118
37134_f_at,559.2,A,0.72454
613_at,151.2,A,0.96064
32547_at,785.0,P,0.03937
34790_at,170.0,A,0.21898
33140_at,250.7,A,0.39799
33849_at,57.5,A,0.86124
39917_at,932.7,P,0.0193
1347_at,1071.7,P,0.00486
781_at,103.9,A,0.67917
36236_at,254.6,A,0.23456
35683_at,336.8,A,0.69745
33443_at,297.8,P,0.00189
36259_at,72.4,A,0.71525
31368_at,73.8,A,0.67917
39128_r_at,2093.8,A,0.08134
40017_at,164.3,A,0.9106
37253_at,68.1,A,0.1073
41831_at,272.0,A,0.09805
31844_at,439.2,P,0.00022
1619_g_at,76.7,A,0.52062
873_at,83.0,A,0.08941
40449_at,213.7,A,0.16294
33821_at,501.8,P,0.00022
41349_at,374.0,M,0.049
1238_at,439.1,A,0.09805
34218_at,84.4,A,0.67917
32875_at,227.7,A,0.95101
313_at,155.2,A,0.28475
39462_s_at,170.4,A,0.90195
36864_at,221.1,P,0.00081
40170_at,752.9,A,0.5
32153_s_at,5773.6,P,0.00027
41516_at,180.4,A,0.73254
39191_at,290.4,A,0.99246
39327_at,242.9,A,0.20402
1176_at,331.9,A,0.21898
35185_at,171.5,P,0.03516
34195_at,167.5,A,0.67917
40008_at,179.6,A,0.43836
38931_at,47.2,P,0.03134
37491_at,108.2,P,0.00418
36551_at,154.6,P,0.017
41427_at,166.3,A,0.95101
37863_at,29.4,A,0.93314
32262_at,115.1,P,0.00564
31914_at,67.3,A,0.8927
36811_at,212.0,P,0.03937
39031_at,956.8,P,0.00022
35995_at,170.2,P,0.00114
31786_at,109.3,P,0.00754
37329_at,1338.5,P,0.00096
39147_g_at,639.4,P,0.00022
37481_at,63.3,P,0.00653
38054_at,1538.9,P,0.00022
559_s_at,432.0,A,0.64131
40580_r_at,2157.1,P,0.01494
31903_at,98.8,P,0.00223
35133_at,92.7,A,0.37818
39661_s_at,153.8,P,0.03134
41745_at,4672.0,P,0.00022
36914_at,93.9,A,0.54118
35686_s_at,135.8,P,0.00754
31950_at,962.0,P,0.00022
31849_at,256.7,P,0.00359
160_at,222.8,P,0.00418
32542_at,604.7,P,0.00022
37847_at,568.2,P,0.00135
35019_at,84.4,P,0.0016
35570_at,64.5,A,0.71525
31750_at,577.2,A,0.8927
38676_at,113.7,P,0.00114
34938_i_at,316.0,A,0.88934
40577_at,83.4,P,0.00039
41222_at,1323.9,P,0.00067
32169_at,730.0,P,0.00056
34290_f_at,268.3,A,0.58695
31823_at,167.2,P,0.00056
39040_at,186.1,P,0.00056
34630_s_at,231.8,A,0.33956
34205_at,28.2,A,0.79598
577_at,382.7,P,0.01309
975_at,27.8,A,0.37818
36179_at,628.6,P,0.00067
37626_at,39.1,A,0.67917
39285_at,126.5,A,0.23456
35457_at,87.8,A,0.93314
1221_at,228.4,A,0.06687
34158_s_at,41.0,A,0.84947
40694_at,105.9,A,0.983
1019_g_at,264.3,A,0.58193
35507_at,42.7,A,0.20402
37075_at,432.5,A,0.41807
33482_at,234.8,A,0.66044
37114_at,298.1,A,0.95101
39158_at,187.6,A,0.41807
33604_at,272.6,A,0.97214
34081_at,263.5,A,0.81031
1071_at,440.8,A,0.79598
39946_at,150.7,A,0.79598
34529_at,396.1,A,0.62182
40784_at,134.1,P,0.01309
38101_at,318.1,A,0.06042
41685_at,59.9,A,0.58193
32306_g_at,148.2,P,0.01309
933_f_at,172.1,P,0.02471
32759_at,211.4,A,0.96866
38249_at,95.2,A,0.73254
31866_at,184.3,P,0.03134
37985_at,178.2,A,0.41807
36082_at,493.9,A,0.56164
37734_at,503.3,P,0.00307
35267_g_at,210.3,P,0.00047
36093_at,143.8,A,0.37818
1594_at,284.4,P,0.00564
